Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating,Float shares outstanding
ABLLL,"Abacus Life, Inc. - 9.875% Fixed Rate Senior Notes due 2028",25.5,USD,0.19646365422397138,1339,0.23836650407661908,688154012,USD,907.473309608541,0.0281,USD,-67.36353077816493,0,Finance,,2059984.197
BOIRF,Boiron,39.1,USD,12.42093156986774,1810,13.367799113737075,684975830.6341462,USD,17.167438581589522,2.2775674899999996,USD,22.91572039207726,3.15638,Health Technology,Sell,2433807.8635259997
METCB,"Ramaco Resources, Inc.",11.04,USD,1.1915673693858753,1482,0.11640328002764774,660907258.4271309,USD,17.93372319688109,0.6156,USD,,8.1879,Energy Minerals,,4988087.946264
ABL,"Abacus Life, Inc.",10.2961,USD,-4.266852626685277,820,0.041266166775703286,658791494.4633379,USD,366.4092526690391,0.0281,USD,-67.36353077816493,0,Finance,Strong buy,2059984.197
ATROB,Astronics Corp.,18.92,USD,4.070407040704081,133,0.11316259678379989,658331429.3099416,USD,,-0.7716,USD,32.84595300261097,0,Electronic Technology,Buy,2955183.98808
WTBFB,W.T.B. Financial Corp.,255,USD,0.19646365422396855,29,0.06229860365198711,652557561.6306484,USD,14.213571452459783,17.9406,USD,,2.90766,Finance,,2507328.4091399997
FBAK,First National Bank Alaska,196.44,USD,-0.02035830618892103,146,1.0641399416909623,652180773.0054969,USD,10.61023430664031,18.5142,USD,,6.51466,Finance,,3312619.6399999997
SEMUF,SIEM INDUSTRIES INC,33.22,USD,0,500,0.8249463784853984,648587280,USD,,,,,0,Finance,,3964328.676
LVRO,Lavoro Limited,5.56,USD,0.36101083032490205,8437,1.242525993343348,648342308.5776173,USD,,-0.814,USD,,0,Distribution Services,Buy,3144460.22678
PLPC,Preformed Line Products Company,130.395,USD,-2.0543829339742996,3229,0.23303647464672853,641287326.0814618,USD,12.611222871290959,10.3396,USD,-18.528732733963167,0.600916,Producer Manufacturing,,2369428.06532
GAMI,"GAMCO Investors, Inc.",24.25,USD,-3,3806,0.9710670000510282,639105043.63,USD,10.1218799565907,2.3958,USD,-3.0236794171220396,0.64,Finance,,4928517.13454
LMB,"Limbach Holdings, Inc.",56.99,USD,-4.6352074966532735,42576,0.34010111330073656,637323477.6276774,USD,26.476190476190478,2.1525,USD,106.29672225416901,0,Miscellaneous,Strong buy,9724656.013500001
ROOT,"Root, Inc.",42.28,USD,-4.105239283284196,51019,0.163241524440794,631474037.0360626,USD,,-7.7757,USD,58.1850447688957,0,Finance,Buy,6870935.6425600005
CVLG,"Covenant Logistics Group, Inc.",47.26,USD,-1.4800917239941649,21003,0.44290317410778307,619784689.8553262,USD,15.175647036156958,3.1142,USD,-55.24867435945337,0.91724,Transportation,Buy,7789571.9448
PBKOF,Pollard Banknote Ltd.,22.9009,USD,-1.8392627518216815,227,0.3970613958369774,617698416.6054411,USD,25.266837103357695,0.9063619599999999,USD,87.63314821930864,0.533752,Consumer Services,Buy,9563952.993299998
NBR,Nabors Industries Ltd.,63.16,USD,-3.0396070003070372,43409,0.21682178197545626,602560787.9527172,USD,,-12.9804,USD,13.318953715884582,0,Industrial Services,Neutral,8648636.020265
GSBC,"Great Southern Bancorp, Inc.",51.46,USD,-1.1335254562920198,1193,0.04799317716441988,599917088.1809798,USD,10.114391288965763,5.0878,USD,,3.07397,Finance,Neutral,8633794.1084
HBIA,Hills Bancorporation,65.01,USD,0,705,0.5451171421943865,590918097.0100486,USD,15.731397459165155,4.1325,USD,,1.67479,Finance,,7874463.78115
REPX,"Riley Exploration Permian, Inc.",26.84,USD,-0.8130081300812967,60055,0.3695176120012773,578235538.4390244,USD,5.45894604104379,4.9167,USD,-12.771883759713305,5.2476,Energy Minerals,Strong buy,8228482.059599999
BH,Biglari Holdings Inc.,184.9,USD,-4.301019615961907,3062,1.66467326302055,571054865.7905906,USD,45.38648469525516,4.0739,USD,-61.88520372362819,0,Consumer Services,,2059358.0123200002
OFLX,"Omega Flex, Inc.",56.525,USD,-3.7708546135512484,4344,0.12597365688998183,570581578.6870105,USD,29.654792508262947,1.9061,USD,-19.53989024905024,2.24719,Producer Manufacturing,,3515854.7843
KRT,Karat Packaging Inc.,28.12,USD,-1.6783216783216797,12171,0.32034342626126505,561697876.0461538,USD,18.980762740465746,1.4815,USD,13.655542769466814,3.32168,Process Industries,Strong buy,6829192.825
OTCM,OTC Markets Group Inc.,49.5,USD,-0.7419290154401393,3465,0.7147129803428146,557617504.9629036,USD,21.967780588470244,2.2533,USD,-7.302122757939782,1.44375,Finance,,6903732.72
IRMD,iRadimed Corporation,43.05,USD,-0.8521418701059524,3473,0.08001787903084594,545193122.905343,USD,30.592666287663445,1.4072,USD,29.433406916850636,0.690926,Health Technology,Strong buy,7983309.0528
VHI,"Valhi, Inc.",19.185,USD,0.287506534239413,944,0.1444264251399896,542714699.0026135,USD,913.5714285714284,0.021,USD,-98.50000000000001,1.67277,Process Industries,Strong sell,2392273.5795
NPK,"National Presto Industries, Inc.",74.53,USD,-1.4023018917846306,10957,0.30361724885142516,528986482.51303077,USD,16.408348377438244,4.5422,USD,20.710090621595047,5.95317,Electronic Technology,,5086388.78216
SVCO,"Silvaco Group, Inc.",17.92,USD,0.11173184357543646,27100,0.09525935325577839,511245586.5921788,USD,,,,,0,Technology Services,Strong buy,7610338.22309
DJCO,Daily Journal Corp. (S.C.),368.73,USD,-0.5421589253924558,1837,0.2823764506955653,507750769.88768417,USD,22.84898095763337,16.1377,USD,,0,Consumer Services,,1235166.9923699999
CATC,Cambridge Bancorp,64.42,USD,-0.6783842121492409,11829,0.5426345920951228,505545989.4289239,USD,17.728974020255396,3.6336,USD,,4.13198,Finance,Buy,7381681.644520001
ZEUS,"Olympic Steel, Inc.",45.31,USD,-3.6572400595364636,32626,0.36063700083013056,504415449.8301084,USD,12.121779608871293,3.7379,USD,-31.997380246329616,1.11631,Producer Manufacturing,Buy,9784098.202499999
LPA,Logistic Properties of the Americas,15.65,USD,-7.941176470588234,54530,0.16945075952970187,496257515.6941176,USD,325.3638253638254,0.0481,USD,-13.953488372093027,0,Finance,,2767051.8414
GCBC,"Greene County Bancorp, Inc.",29.07,USD,-3.5820895522388008,1401,0.03542539553301186,494969906.158209,USD,20.20574129422395,1.4387,USD,,1.06136,Finance,,6939221.2596
RNAC,"Cartesian Therapeutics, Inc.",27.46,USD,-6.247866165926932,15511,0.19106216818792118,488679629.0959372,USD,,-56.0247,USD,-909.235840899265,0,Health Technology,Strong buy,6942507.7554
MLAB,"Mesa Laboratories, Inc.",90.14,USD,-3.0752688172043006,14045,0.22774629273790123,486219721.27784944,USD,,-47.1358,USD,-28073.76854599407,0.688172,Health Technology,Buy,5210878.8501
